Set	Nr	Normalized?	NSE	KGE	RMSE	mean_Yo	mean_Yp	sd_Yo	sd_Yp	r	N	Bias	KGE*	SetGroup	BasinId	elev_mean	slope_mean	area_gages2	runoff_ratio	baseflow_index	stream_elas
2	42	0	0.736536	0.799	1.432485	1.731032	1.584524	2.790919	2.464328	0.860125	12437	-8.5	0.81	2	1451800	180.41	14.8941	135.84	0.502370836	0.477158376	1.548397182
2	43	0	0.332255	0.653	0.391348	0.784067	0.910722	0.478934	0.575164	0.767915	12059	16.2	0.595	2	1466500	38.94	2.53456	5.38	0.241045546	0.837326882	0.225541509
2	44	0	0.626701	0.709	0.89163	1.122504	1.149129	1.459399	1.164559	0.791878	12351	2.4	0.709	2	1484100	17.97	1.03721	9	0.300141865	0.708418602	1.303015106
2	45	0	0.774913	0.811	0.960419	1.101789	1.068829	2.024433	1.735003	0.880762	12406	-3	0.813	2	1485500	15.46	1.66864	141.54	0.283184659	0.476673305	1.74340159
2	46	0	0.713185	0.758	1.027783	1.051209	1.078943	1.919189	1.566439	0.845122	12434	2.6	0.759	2	1486000	10.21	1.47125	11.18	0.383131753	0.520550201	1.51786389
2	47	0	0.770351	0.825	0.534013	1.190434	1.167668	1.11439	0.975629	0.877938	12421	-1.9	0.824	2	1487000	13.84	1.09998	187.41	0.390713412	0.744016868	1.317448168
2	48	0	0.569121	0.636	1.429971	1.23256	1.158303	2.178546	1.606185	0.755388	12437	-6	0.639	2	1491000	18.54	1.41948	292.04	0.372009472	0.556539701	1.342325308
2	49	0	0.681331	0.704	1.472622	1.81642	1.58583	2.608787	2.069295	0.831008	12482	-12.7	0.719	2	1510000	482.21	28.76423	382.99	0.548786687	0.50418879	1.321720993
2	50	0	0.436716	0.61	1.882206	1.002518	1.089045	2.507962	2.014484	0.674207	12447	8.6	0.618	2	1516500	634.59	29.79686	31.48	0.323373525	0.416854381	1.201383663
2	51	0	0.5858	0.652	1.437179	1.145268	1.016342	2.233185	1.713087	0.76755	11376	-11.3	0.666	2	1518862	600.87	37.28156	233.91	0.395290298	0.429466195	1.643721058
2	52	0	0.639315	0.792	1.797547	1.299563	1.221626	2.993187	2.810077	0.81026	12472	-6	0.799	2	1532000	507.14	40.91626	553.94	0.421819975	0.436231936	1.676304973
2	53	0	0.698351	0.727	1.53096	1.709086	1.628889	2.7876	2.190955	0.837773	12497	-4.7	0.73	2	1539000	333.75	32.47937	701.78	0.519507507	0.518896819	1.406484486
2	54	0	0.640431	0.735	1.801462	1.584381	1.510305	3.004356	2.498772	0.801229	12444	-4.7	0.738	2	1542810	492.7	45.55723	13.62	0.467258394	0.386466354	1.41962585
