Set	Nr	Normalized?	NSE	KGE	RMSE	mean_Yo	mean_Yp	sd_Yo	sd_Yp	r	N	Bias	KGE*	SetGroup
8	12	1	0.875313	0.801000	0.353096	-0.002632	-0.002167	1.000401	0.933794	0.935584	1140	0.000000	0.907000	4.000000
9	1	1	0.507792	-0.079000	0.698662	0.000384	0.000000	1.000023	0.712602	0.712595	120	-0.000000	0.594000	5.000000
9	2	1	0.726174	0.531000	0.520571	-0.009063	-0.005251	0.999021	0.854386	0.852172	119	0.100000	0.793000	5.000000
9	3	1	0.795375	-0.081000	0.450570	-0.000022	0.000002	1.000229	0.891818	0.891838	120	0.000000	0.847000	5.000000
9	4	1	0.761672	0.565000	0.485899	-0.008927	-0.005381	0.999518	0.874856	0.872749	119	0.100000	0.822000	5.000000
9	5	1	0.801681	0.004000	0.443465	-0.000119	-0.000002	0.999987	0.895319	0.895367	120	0.000000	0.852000	5.000000
9	6	1	0.712839	-0.015000	0.533639	-0.000072	-0.000001	1.000006	0.844386	0.844298	120	0.000000	0.780000	5.000000
9	7	1	0.695864	0.512000	0.548524	-0.009003	-0.005142	0.998836	0.836481	0.834200	119	0.100000	0.768000	5.000000
9	8	1	0.691593	-0.028000	0.553204	-0.000183	-0.000000	1.000323	0.831615	0.831620	120	0.000000	0.762000	5.000000
9	9	1	0.731758	-0.022000	0.515682	-0.000260	0.000000	0.999853	0.855500	0.855429	120	0.000000	0.796000	5.000000
9	10	1	0.798779	0.000000	0.446702	0.000117	0.000001	0.999994	0.893754	0.893744	120	-0.000000	0.850000	5.000000
9	11	1	0.516018	-0.089000	0.693161	0.000055	-0.000001	1.000545	0.718288	0.718344	120	-0.000000	0.601000	5.000000
9	12	1	0.519173	-0.077000	0.690703	0.000297	-0.000000	1.000263	0.720697	0.720536	120	-0.000000	0.605000	5.000000
9	13	1	0.521520	0.206000	0.682955	-0.014483	-0.004448	0.991500	0.723683	0.722275	119	0.400000	0.612000	5.000000
9	14	1	0.621187	0.404000	0.611667	-0.010008	-0.004839	0.998010	0.790690	0.788182	119	0.200000	0.703000	5.000000
9	15	1	0.605746	0.305000	0.622199	-0.012696	-0.004794	0.995116	0.779965	0.778357	119	0.300000	0.690000	5.000000
9	16	1	0.617201	0.331000	0.613529	-0.012061	-0.004840	0.995824	0.787487	0.785672	119	0.300000	0.700000	5.000000
9	17	1	0.645966	0.393000	0.590702	-0.010783	-0.004939	0.996962	0.805797	0.803754	119	0.200000	0.726000	5.000000
9	18	1	0.645717	0.355000	0.589884	-0.011895	-0.004951	0.995231	0.805326	0.803615	119	0.300000	0.726000	5.000000
9	19	1	0.690012	0.469000	0.552340	-0.019701	-0.010320	0.996281	0.835054	0.830757	118	0.400000	0.766000	5.000000
9	20	1	0.732117	0.537000	0.515610	-0.008915	-0.005201	1.000417	0.857749	0.855648	119	0.100000	0.797000	5.000000
9	21	1	0.760205	-0.018000	0.487654	0.000166	-0.000000	1.000021	0.871943	0.871897	120	-0.000000	0.819000	5.000000
9	22	1	0.789145	0.499000	0.456123	-0.010414	-0.005457	0.997521	0.889837	0.888360	119	0.200000	0.845000	5.000000
9	23	1	0.565825	-0.068000	0.655942	0.000034	-0.000000	0.999655	0.752128	0.752213	120	-0.000000	0.650000	5.000000
9	24	1	0.811198	-0.010000	0.432772	0.000063	-0.000000	1.000166	0.900866	0.900665	120	-0.000000	0.860000	5.000000
9	25	1	0.803077	0.469000	0.440550	-0.011171	-0.005463	0.996964	0.897445	0.896173	119	0.200000	0.856000	5.000000
9	26	1	0.770314	-0.016000	0.477228	0.000222	-0.000000	0.999943	0.877759	0.877675	120	-0.000000	0.827000	5.000000
9	27	1	0.536136	-0.089000	0.678228	-0.000037	0.000001	0.999994	0.732184	0.732213	120	0.000000	0.621000	5.000000
9	28	1	0.647248	-0.035000	0.591706	-0.000102	-0.000000	1.000433	0.804218	0.804518	120	0.000000	0.723000	5.000000
9	29	1	0.680065	-0.025000	0.563248	0.000115	0.000001	0.999967	0.824393	0.824660	120	-0.000000	0.752000	5.000000
9	30	1	0.686739	-0.029000	0.557617	-0.000140	-0.000000	1.000461	0.828647	0.828697	120	0.000000	0.757000	5.000000
9	31	1	0.712632	0.603000	0.533939	-0.007710	-0.005156	1.000241	0.846659	0.844182	119	0.100000	0.781000	5.000000
9	32	1	0.731057	-0.020000	0.516549	-0.000164	-0.000000	1.000226	0.854953	0.855019	120	0.000000	0.795000	5.000000
9	33	1	0.711394	-0.022000	0.534902	-0.000170	-0.000000	0.999859	0.843305	0.843442	120	0.000000	0.779000	5.000000
9	34	1	0.574364	0.309000	0.647016	-0.011767	-0.004674	0.995928	0.760080	0.757920	119	0.300000	0.661000	5.000000
9	35	1	0.717703	-0.033000	0.529198	-0.000034	0.000000	1.000188	0.847286	0.847173	120	0.000000	0.784000	5.000000
9	36	1	0.766325	-0.006000	0.481473	0.000095	0.000001	1.000192	0.875268	0.875400	120	-0.000000	0.824000	5.000000
9	37	1	0.773529	0.352000	0.473896	0.000003	0.000001	0.999986	0.879409	0.879505	120	-0.000000	0.830000	5.000000
9	38	1	0.789374	0.086000	0.456810	-0.000001	-0.000000	0.999531	0.888575	0.888467	120	0.000000	0.843000	5.000000
9	39	1	0.794620	0.555000	0.450728	-0.009352	-0.005440	0.998775	0.893415	0.891429	119	0.100000	0.849000	5.000000
9	40	1	0.801186	-0.022000	0.443984	0.000076	-0.000001	0.999909	0.895003	0.895090	120	-0.000000	0.852000	5.000000
9	41	1	0.797606	0.620000	0.447895	-0.008451	-0.005503	0.999794	0.895149	0.893096	119	0.100000	0.850000	5.000000
9	42	1	0.794996	-0.021000	0.450887	0.000100	-0.000001	1.000008	0.891653	0.891625	120	-0.000000	0.847000	5.000000
9	43	1	0.719959	0.623000	0.527810	-0.015312	-0.010543	1.001648	0.853321	0.848524	118	0.200000	0.788000	5.000000
9	44	1	0.622670	-0.054000	0.611535	-0.000032	0.000000	0.999718	0.789071	0.789094	120	0.000000	0.702000	5.000000
9	45	1	0.650052	0.462000	0.586869	-0.028363	-0.015111	0.996330	0.813343	0.806430	117	0.500000	0.733000	5.000000
9	46	1	0.660559	0.447000	0.577942	-0.019790	-0.010115	0.996208	0.817270	0.812841	118	0.400000	0.740000	5.000000
9	47	1	0.698096	-0.029000	0.547064	-0.000530	0.000001	0.999818	0.835180	0.835522	120	0.000000	0.767000	5.000000
9	48	1	0.727192	0.526000	0.519523	-0.009134	-0.005239	0.998869	0.854953	0.852770	119	0.100000	0.794000	5.000000
10	1	1	0.795994	-0.014000	0.449794	0.000384	-0.000001	1.000023	0.892185	0.892185	120	-0.000000	0.848000	5.000000
10	2	1	0.843808	0.014000	0.393506	0.000096	0.000002	0.999862	0.918654	0.918591	120	-0.000000	0.885000	5.000000
10	3	1	0.856652	-0.042000	0.377118	-0.000022	0.000001	1.000229	0.925517	0.925555	120	0.000000	0.895000	5.000000
10	4	1	0.780828	-0.023000	0.466200	-0.000102	0.000001	0.999993	0.883598	0.883645	120	0.000000	0.835000	5.000000
10	5	1	0.829282	-0.015000	0.411450	-0.000119	0.000001	0.999987	0.910607	0.910649	120	0.000000	0.874000	5.000000
10	6	1	0.724849	-0.021000	0.522362	-0.000072	-0.000000	1.000006	0.851480	0.851381	120	0.000000	0.790000	5.000000
10	7	1	0.703007	-0.022000	0.542520	0.000156	0.000001	0.999677	0.838447	0.838455	120	-0.000000	0.772000	5.000000
