Dataset,NSE,KGE,KGE*,RMSE,mean_Yo,mean_Yp,sd_Yo,sd_Yp,rho,N,Normalized?
5,0.795375,-0.081,0.847,0.45057,-0.000022,0.000002,1.000229,0.891818,0.891838,120,1
5,0.761672,0.565,0.822,0.485899,-0.008927,-0.005381,0.999518,0.874856,0.872749,119,1
5,0.801681,0.004,0.852,0.443465,-0.000119,-0.000002,0.999987,0.895319,0.895367,120,1
5,0.712839,-0.015,0.78,0.533639,-0.000072,-0.000001,1.000006,0.844386,0.844298,120,1
5,0.695864,0.512,0.768,0.548524,-0.009003,-0.005142,0.998836,0.836481,0.8342,119,1
5,0.691593,-0.028,0.762,0.553204,-0.000183,0,1.000323,0.831615,0.83162,120,1
5,0.731758,-0.022,0.796,0.515682,-0.00026,0,0.999853,0.8555,0.855429,120,1
5,0.798779,0,0.85,0.446702,0.000117,0.000001,0.999994,0.893754,0.893744,120,1
5,0.516018,-0.089,0.601,0.693161,0.000055,-0.000001,1.000545,0.718288,0.718344,120,1
5,0.519173,-0.077,0.605,0.690703,0.000297,0,1.000263,0.720697,0.720536,120,1
5,0.52152,0.206,0.612,0.682955,-0.014483,-0.004448,0.9915,0.723683,0.722275,119,1
5,0.621187,0.404,0.703,0.611667,-0.010008,-0.004839,0.99801,0.79069,0.788182,119,1
5,0.605746,0.305,0.69,0.622199,-0.012696,-0.004794,0.995116,0.779965,0.778357,119,1
5,0.617201,0.331,0.7,0.613529,-0.012061,-0.00484,0.995824,0.787487,0.785672,119,1
5,0.645966,0.393,0.726,0.590702,-0.010783,-0.004939,0.996962,0.805797,0.803754,119,1
5,0.645717,0.355,0.726,0.589884,-0.011895,-0.004951,0.995231,0.805326,0.803615,119,1
5,0.690012,0.469,0.766,0.55234,-0.019701,-0.01032,0.996281,0.835054,0.830757,118,1
5,0.732117,0.537,0.797,0.51561,-0.008915,-0.005201,1.000417,0.857749,0.855648,119,1
5,0.760205,-0.018,0.819,0.487654,0.000166,0,1.000021,0.871943,0.871897,120,1
5,0.789145,0.499,0.845,0.456123,-0.010414,-0.005457,0.997521,0.889837,0.88836,119,1
5,0.565825,-0.068,0.65,0.655942,0.000034,0,0.999655,0.752128,0.752213,120,1
